Timestamp,What is your age group?,What is your level of familiarity with AI?,Do you use any AI-powered devices or applications daily?,In what areas do you use AI on a daily basis?,How much do you trust AI to make decisions in your daily life?,Do you think AI enhances your productivity in daily tasks?,Do you believe AI will play a significant role in shaping the future?,In which areas do you think AI will have the biggest impact in the future?,What benefits do you foresee with the advancement of AI? ,What concerns do you have regarding AI in the future?,Should there be regulations on the development and use of AI?,Do you think AI will improve or worsen human society in the long run?,What is your overall opinion on AI?,Would you be interested in learning more about AI and its applications in the future?
4/7/2025 16:35:14,18 - 24,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Completely distrust,No,Notsure,Entertainment,Greater accessibility for people with disabilities,"Security risks (e.g., AI hacking)","Yes, strict regulations",Neither,Somewhat positive,No
4/7/2025 16:35:15,25 - 34,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Somewhat trust,Yes,Yes,Education,Improved healthcare,Job loss and unemployment,"No, AI should be developed freely",Improve,Somewhat negative,No
4/7/2025 16:35:15,45 - 54,Somewhat familiar,No,Online shopping recommendations,Somewhat trust,Yes,Yes,Transportation,More efficient work processes,Privacy issues,"Yes, but with moderate regulations",Neither,Somewhat negative,No
4/7/2025 16:35:16,25 - 34,Very familiar,No,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,No,No,Education,More efficient work processes,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Improve,Very positive,Yes
4/7/2025 16:35:17,35 - 44,Not familiar at all,Yes,"Email filtering (e.g., spam detection)",Neutral,No,No,Education,Increased convenience,AI becoming too autonomous,Unsure,Unsure,Somewhat positive,Yes
4/7/2025 16:35:17,Under 18,Not familiar at all,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,No,No,Transportation,Increased convenience,AI becoming too autonomous,"No, AI should be developed freely",Neither,Very positive,No
4/7/2025 16:35:16,Under 18,Very familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Neutral,No,No,Health care,Improved healthcare,Job loss and unemployment,"Yes, strict regulations",Neither,Neutral,Yes
4/7/2025 16:35:18,55 -64,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Completely distrust,No,No,Health care,Greater accessibility for people with disabilities,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Neither,Very negative,No
4/7/2025 16:35:18,35 - 44,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,Yes,No,Business and finance,More efficient work processes,"Security risks (e.g., AI hacking)","Yes, strict regulations",Worsen,Very positive,No
4/7/2025 16:35:19,55 -64,Not familiar at all,No,"Navigation apps (e.g., Google Maps, Waze)",Completely distrust,Not sure,Yes,Transportation,More efficient work processes,AI becoming too autonomous,"No, AI should be developed freely",Neither,Somewhat negative,Yes
4/7/2025 16:35:20,18 - 24,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Neutral,Not sure,No,Business and finance,Greater accessibility for people with disabilities,AI becoming too autonomous,"Yes, strict regulations",Worsen,Neutral,No
4/7/2025 16:35:20,35 - 44,Not familiar at all,Yes,"Navigation apps (e.g., Google Maps, Waze)",Completely distrust,No,No,Transportation,More efficient work processes,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Neither,Somewhat negative,Yes
4/7/2025 16:35:21,35 - 44,Very familiar,Yes,Online shopping recommendations,Completely distrust,No,Notsure,Entertainment,Increased convenience,Privacy issues,Unsure,Improve,Very positive,No
4/7/2025 16:35:21,35 - 44,Somewhat familiar,Yes,Online shopping recommendations,Completely trust,No,Notsure,Transportation,Increased convenience,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Neither,Neutral,Yes
4/7/2025 16:35:22,18 - 24,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Somewhat distrust,Not sure,No,Business and finance,More efficient work processes,"Ethical issues (e.g., AI decision-making)",Unsure,Improve,Somewhat positive,Yes
4/7/2025 16:35:22,25 - 34,Very familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Neutral,Yes,Notsure,Health care,Increased convenience,Privacy issues,"Yes, but with moderate regulations",Unsure,Somewhat positive,No
4/7/2025 16:35:23,18 - 24,Not familiar at all,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat distrust,No,Notsure,Entertainment,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Unsure,Somewhat positive,Yes
4/7/2025 16:35:24,18 - 24,Somewhat familiar,Yes,Online shopping recommendations,Completely distrust,No,Notsure,Education,Greater accessibility for people with disabilities,Privacy issues,"Yes, but with moderate regulations",Neither,Somewhat positive,No
4/7/2025 16:35:24,25 - 34,Very familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Completely distrust,No,No,Transportation,Improved healthcare,"Security risks (e.g., AI hacking)",Unsure,Worsen,Very negative,No
4/7/2025 16:35:25,Under 18,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Somewhat trust,Yes,No,Education,Better education and learning opportunities,Privacy issues,"Yes, but with moderate regulations",Neither,Neutral,Yes
4/7/2025 16:35:25,55 -64,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Somewhat trust,Yes,No,Transportation,Greater accessibility for people with disabilities,Privacy issues,"Yes, but with moderate regulations",Worsen,Neutral,No
4/7/2025 16:35:26,18 - 24,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,Yes,Notsure,Education,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Neither,Very positive,No
4/7/2025 16:35:26,45 - 54,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Somewhat distrust,No,No,Entertainment,Better education and learning opportunities,Privacy issues,"Yes, but with moderate regulations",Neither,Neutral,Yes
4/7/2025 16:35:27,25 - 34,Not familiar at all,Yes,Online shopping recommendations,Neutral,No,Notsure,Business and finance,More efficient work processes,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Neither,Somewhat negative,No
4/7/2025 16:35:28,18 - 24,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely trust,Not sure,No,Entertainment,More efficient work processes,Privacy issues,"No, AI should be developed freely",Worsen,Neutral,No
4/7/2025 16:35:28,35 - 44,Very familiar,No,Online shopping recommendations,Neutral,No,Notsure,Transportation,Better education and learning opportunities,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Improve,Somewhat positive,No
4/7/2025 16:35:29,18 - 24,Not familiar at all,Yes,Online shopping recommendations,Neutral,No,Yes,Entertainment,Improved healthcare,"Ethical issues (e.g., AI decision-making)",Unsure,Worsen,Somewhat negative,Yes
4/7/2025 16:35:29,18 - 24,Not familiar at all,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,Yes,No,Transportation,More efficient work processes,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Worsen,Somewhat positive,No
4/7/2025 16:35:30,45 - 54,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Somewhat trust,No,Yes,Transportation,Better education and learning opportunities,Job loss and unemployment,"No, AI should be developed freely",Neither,Neutral,No
4/7/2025 16:35:30,55 -64,Not familiar at all,No,"Voice assistants (e.g., Siri, Alexa)",Completely trust,No,Yes,Entertainment,More efficient work processes,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Worsen,Somewhat positive,Yes
4/7/2025 16:35:31,35 - 44,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Completely trust,No,Notsure,Health care,More efficient work processes,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Worsen,Very negative,No
4/7/2025 16:35:31,35 - 44,Not familiar at all,No,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,No,Notsure,Transportation,Greater accessibility for people with disabilities,Privacy issues,"No, AI should be developed freely",Worsen,Somewhat negative,Yes
4/7/2025 16:35:32,18 - 24,Not familiar at all,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat distrust,No,No,Transportation,More efficient work processes,Privacy issues,"Yes, strict regulations",Neither,Somewhat positive,Yes
4/7/2025 16:35:33,18 - 24,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Not sure,No,Business and finance,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Improve,Somewhat positive,No
4/7/2025 16:35:33,45 - 54,Very familiar,No,Online shopping recommendations,Somewhat distrust,Yes,Notsure,Entertainment,Increased convenience,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Unsure,Somewhat positive,Yes
4/7/2025 16:35:34,35 - 44,Not familiar at all,No,"Navigation apps (e.g., Google Maps, Waze)",Completely distrust,Not sure,Yes,Education,Greater accessibility for people with disabilities,"Security risks (e.g., AI hacking)","Yes, strict regulations",Neither,Very negative,No
4/7/2025 16:35:35,45 - 54,Very familiar,Yes,"Email filtering (e.g., spam detection)",Somewhat trust,No,No,Health care,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, strict regulations",Neither,Somewhat positive,No
4/7/2025 16:35:36,35 - 44,Somewhat familiar,No,Online shopping recommendations,Completely trust,No,Yes,Health care,Better education and learning opportunities,Privacy issues,"Yes, but with moderate regulations",Worsen,Neutral,Yes
4/7/2025 16:35:34,25 - 34,Very familiar,No,Online shopping recommendations,Neutral,Not sure,No,Business and finance,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Neither,Very negative,No
4/7/2025 16:35:36,45 - 54,Somewhat familiar,Yes,Online shopping recommendations,Completely trust,Not sure,Yes,Entertainment,More efficient work processes,"Security risks (e.g., AI hacking)","Yes, strict regulations",Neither,Neutral,No
4/7/2025 16:35:37,55 -64,Very familiar,Yes,Online shopping recommendations,Neutral,Yes,Notsure,Transportation,Improved healthcare,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Neither,Somewhat negative,No
4/7/2025 16:35:37,Under 18,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,No,Yes,Health care,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Unsure,Very positive,Yes
4/7/2025 16:35:38,18 - 24,Not familiar at all,No,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,Yes,Yes,Education,Better education and learning opportunities,AI becoming too autonomous,"Yes, but with moderate regulations",Neither,Somewhat negative,Yes
4/7/2025 16:35:38,35 - 44,Not familiar at all,No,Online shopping recommendations,Neutral,No,Yes,Health care,Better education and learning opportunities,Job loss and unemployment,"Yes, but with moderate regulations",Worsen,Very negative,No
4/7/2025 16:35:39,35 - 44,Very familiar,Yes,Online shopping recommendations,Completely distrust,Yes,Notsure,Transportation,More efficient work processes,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Neither,Very positive,No
4/7/2025 16:35:40,55 -64,Not familiar at all,No,"Navigation apps (e.g., Google Maps, Waze)",Completely distrust,Not sure,No,Entertainment,More efficient work processes,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Improve,Somewhat negative,Yes
4/7/2025 16:35:40,18 - 24,Very familiar,No,Online shopping recommendations,Completely trust,No,No,Entertainment,Improved healthcare,AI becoming too autonomous,"Yes, but with moderate regulations",Unsure,Somewhat positive,Yes
4/7/2025 16:35:41,25 - 34,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Completely distrust,Yes,No,Business and finance,More efficient work processes,"Security risks (e.g., AI hacking)",Unsure,Worsen,Somewhat negative,No
4/7/2025 16:35:41,18 - 24,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely trust,Yes,Yes,Entertainment,More efficient work processes,Privacy issues,"Yes, but with moderate regulations",Improve,Neutral,No
4/7/2025 16:35:42,45 - 54,Very familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Neutral,No,Yes,Entertainment,More efficient work processes,AI becoming too autonomous,"Yes, but with moderate regulations",Unsure,Somewhat negative,No
4/7/2025 16:35:43,35 - 44,Somewhat familiar,Yes,Online shopping recommendations,Completely trust,No,Notsure,Business and finance,Greater accessibility for people with disabilities,Privacy issues,"Yes, but with moderate regulations",Unsure,Neutral,No
4/7/2025 16:35:43,Under 18,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,No,No,Transportation,Improved healthcare,AI becoming too autonomous,Unsure,Neither,Neutral,Yes
4/7/2025 16:35:44,35 - 44,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Somewhat trust,No,Notsure,Education,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Neither,Very positive,No
4/7/2025 16:35:44,35 - 44,Not familiar at all,No,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,Yes,Yes,Transportation,Greater accessibility for people with disabilities,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Worsen,Somewhat positive,Yes
4/7/2025 16:35:45,55 -64,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,No,Yes,Education,Improved healthcare,AI becoming too autonomous,"No, AI should be developed freely",Worsen,Somewhat negative,No
4/7/2025 16:35:46,18 - 24,Somewhat familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,Not sure,No,Business and finance,Improved healthcare,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Worsen,Very positive,No
4/7/2025 16:35:47,35 - 44,Very familiar,No,Online shopping recommendations,Somewhat trust,Not sure,No,Entertainment,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Worsen,Somewhat negative,No
4/7/2025 16:35:46,45 - 54,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,No,No,Health care,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Unsure,Somewhat negative,Yes
4/7/2025 16:35:47,Under 18,Somewhat familiar,Yes,Online shopping recommendations,Somewhat distrust,No,No,Education,Increased convenience,AI becoming too autonomous,"Yes, but with moderate regulations",Neither,Somewhat negative,Yes
4/7/2025 16:35:48,45 - 54,Not familiar at all,No,Online shopping recommendations,Somewhat trust,No,No,Entertainment,More efficient work processes,AI becoming too autonomous,"Yes, but with moderate regulations",Unsure,Very positive,No
4/7/2025 16:35:49,Under 18,Not familiar at all,No,"Navigation apps (e.g., Google Maps, Waze)",Somewhat distrust,Yes,Yes,Health care,Greater accessibility for people with disabilities,"Security risks (e.g., AI hacking)",Unsure,Worsen,Neutral,No
4/7/2025 16:35:50,55 -64,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Not sure,No,Education,More efficient work processes,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Worsen,Neutral,Yes
4/7/2025 16:35:49,18 - 24,Somewhat familiar,No,Online shopping recommendations,Somewhat distrust,No,No,Entertainment,More efficient work processes,AI becoming too autonomous,Unsure,Worsen,Somewhat positive,No
